id,date,incident_type,severity,status,description,reported_by,created_at
1,2025-03-13,Man-in-the-Middle,Low,Resolved,Firewall blocked multiple port scans.,admin,2025-03-13 11:47:17
2,2025-02-09,Malware Infection,High,Mitigated,Database latency exceeded threshold.,jdoe,2025-02-09 10:05:43
3,2025-04-25,Insider Threat,Critical,Closed,Unusual outbound traffic pattern.,asmith,2025-04-25 17:45:59
4,2025-06-19,SQL Injection,Medium,False Positive,Suspicious login attempt detected.,jdoe,2025-06-19 03:52:32
5,2025-07-27,Malware Infection,Low,Closed,Unusual outbound traffic pattern.,asmith,2025-07-27 18:48:59
6,2024-12-15,SQL Injection,Medium,Resolved,Unusual outbound traffic pattern.,admin,2024-12-15 13:51:40
7,2025-01-24,Data Breach,Critical,False Positive,Firewall blocked multiple port scans.,jdoe,2025-01-24 15:05:04
8,2025-11-13,Malware Infection,High,Closed,Antivirus signature match found.,asmith,2025-11-13 12:42:05
9,2025-04-21,Ransomware,Low,Open,Firewall blocked multiple port scans.,admin,2025-04-21 23:14:09
10,2025-11-06,Phishing Attempt,Critical,Mitigated,Unusual outbound traffic pattern.,system_monitor,2025-11-06 08:18:18
11,2025-08-03,Unauthorized Access,Medium,Resolved,Suspicious login attempt detected.,security_team,2025-08-03 13:38:33
12,2025-08-16,Unauthorized Access,Low,Mitigated,Suspicious login attempt detected.,asmith,2025-08-16 21:41:03
13,2025-08-14,Data Breach,High,Resolved,User reported strange email attachment.,system_monitor,2025-08-14 04:58:30
14,2025-04-27,Malware Infection,Low,Closed,Suspicious login attempt detected.,klee,2025-04-27 03:30:47
15,2025-08-20,Phishing Attempt,Medium,Investigating,Suspicious login attempt detected.,klee,2025-08-20 08:11:52
16,2025-04-21,Phishing Attempt,Medium,Mitigated,Antivirus signature match found.,asmith,2025-04-21 12:42:01
17,2025-02-24,DDoS Attack,Critical,Closed,Firewall blocked multiple port scans.,system_monitor,2025-02-24 19:21:43
18,2025-02-02,SQL Injection,Critical,Open,Database latency exceeded threshold.,jdoe,2025-02-02 04:40:53
